id,role,type,description,size/ratio,style line ref,source
tag-final-chase-ring,Tag escalation state,3D procedural UI,"Restrained rose arena ring visible only during the bounded Final Chase phase","20.3 world-unit outer diameter","STYLE_FORMULA_V1","code-authored in src/games/tag.js"
creator-template-selector,Creator bounded starting-point choice,DOM UI,"Three original objective cards for Race Survival and Score with safe guidance allowlisted local tags and 44px actions","Responsive 16:9 through 9:16","STYLE_FORMULA_V1","code-authored in src/ugc/editor.js and src/ugc/templates.js"
creator-template-stage,Creator and local template playback presentation,3D procedural environment,"Shared non-colliding raised play island park horizon irregular instanced landforms template route marks cohesive widget palette and exact Goal arch","16 by 16 editor grid with desktop and 390 by 844 fixed playback views","STYLE_FORMULA_V1","code-authored in src/ugc/presentation.js src/ugc/editor.js and src/ugc/discovery.js"
creator-score-star,Creator Score objective marker,3D procedural gameplay prop,"Small animated yellow vinyl octahedron collected by overlap in editor tests and local Discover playback","0.72 world-unit diameter","STYLE_FORMULA_V1","code-authored in src/ugc/editor.js and src/ugc/discovery.js"
skypark-skyloom-beacon,Primary civic north-star and first-play sightline,3D procedural landmark,"Asymmetric coral six aqua seven and warm crown on one graphite civic base","12.7 world units tall","STYLE_FORMULA_V1","code-authored in src/world/hub-plus.js and specified in src/world/skypark-composition.js"
skypark-ripple-pavilion,Water Garden social threshold and route endpoint,3D procedural landmark,"Three vertically stepped aqua and cream wave ribs on restrained graphite posts","9.3 x 3.3 x 3.3 world units","STYLE_FORMULA_V1","code-authored in src/world/hub-plus.js and specified in src/world/skypark-composition.js"
skypark-sunstep-terrace,Sports route endpoint and spectator porch,3D procedural landmark,"Folded gold five-panel canopy with graphite supports and a small coral-centered sun crown","6.2 x 5.3 x 3.0 world units","STYLE_FORMULA_V1","code-authored in src/world/hub-plus.js and specified in src/world/skypark-composition.js"
skypark-route-hierarchy,Connects arrival Play social and activity destinations,3D procedural environment,"One unobstructed Gold Spine plus five named cream secondary walks with sparse action inlays","2.25-4.2 world units wide","STYLE_FORMULA_V1","code-authored in src/world/hub-plus.js and specified in src/world/skypark-composition.js"
public-local-boundary-copy,Player-facing entry Play Chat Social Discover and 67 Show boundary language,DOM UI copy,"Original concise on-device wording that removes internal prototype and playtest labels while explicitly keeping online upload multiplayer persistence and cash-value limits honest","Responsive 1440x900 through 390x844","STYLE_FORMULA_V1","code-authored in index.html src/main.js src/core/navigation.js src/systems/chat.js src/systems/social.js src/ugc/discovery.js and src/games/show67.js"
mobile-interaction-shell,Safe mobile movement modal and return lifecycle,DOM input and UI,"Additive safe-area layout with interrupted-pointer neutralization inert hidden controls during decisions deterministic focus restoration and a compact short-landscape control treatment","390x844 portrait and 844x390 landscape fixed views","STYLE_FORMULA_V1","code-authored in index.html src/input.js src/core/ui.js src/main.js src/core/party-session.js src/games and src/ugc"
accessible-navigation-shell,Keyboard and screen-reader navigation for shell modes panels and UGC,DOM semantics and focus management,"Top-layer modal isolation deterministic focus trapping and restoration labelled navigation status announcements Discover roving tabs and uniquely named repeated actions","1440x900 through 390x844 fixed views","STYLE_FORMULA_V1","code-authored in index.html src/core/ui.js src/main.js src/games/show67.js src/systems/emotes.js src/ugc/discovery.js src/ugc/editor.js and src/games"
skypark-civic-neighborhood-ring,Background city scale and park enclosure,3D procedural environment,"Asymmetric ring of rounded ceramic homes with a continuous arcade rhythm restrained enamel awnings and selected planted roof terraces","22 batched buildings around the non-playable horizon","STYLE_FORMULA_V1","code-authored in src/world.js on 2026-07-28"
skypark-gold-spine-guide-lights,Primary Play route edge and depth rhythm,3D procedural navigation props,"Twelve paired graphite posts with low gold lozenge lights positioned outside the clear walking route","0.82-1.44 world units tall","STYLE_FORMULA_V1","code-authored in src/world.js on 2026-07-28"
